sentences	labels
xxgk/*****/1079/1081/list' and 2*3*8=6*8 and 'wipi'='wipi.html 	 0
0'xor(if(now()=sysdate(),sleep(15),0))xor'z/****/202103/t20210303_2614145.html 	 0
/****/tzgg/zzlist_42.html 	 0
jsearchfront/********/jcse/110105008056111/16/images/bxss.me.css 	 0
/****/web/search?channelid=222832&searchword=\u94f6\u5ddd\u5e02\u5174\u5e86\u533a\u4f17\u8fbe\u901a\u6c7d\u4fee\u90e8 	 0
/**********/system/2020/03/13/013112856.shtml 	 0
xxgk/******/ and 1=1 	 0
/*****/javascript/bootstrap/fonts/glyphicons-halflings-regular.eot? 	 0
/**********/system/2020/01/19/013059598.shtml 	 0
dcwj/********/modal_sendmail.aspx?from=user&usernamecollection=anony' and ('anony' 'secsiteserverinj' @@version)>0 and '1'='1 	 0
/*****/gy48/cpgyss.asp?key=\u6c99\u4e95\u6570\u63a7\u5bf9\u5200\ufffd?&l=\ufffd\ufffd\ufffd\ufffd 	 0
/****/web/search?channelid=222832&searchword=\u5434\u5fe0\u5e02\u5229\u901a\u533a\u827e\u7279\u9020\u578b\u7406\u53d1\u5e97 	 0
/******/system/2020/11/23/013288649.shtml 	 0
/******/public/2021/10/19/109573.images/v109573_b1634647825984_app.jpg/index_1.html 	 0
kjcx/****/nljx/ 	 0
zwgk/******/fdzdgknr/qtfdxx/zfwj/201912/p020191231402470644971.pdf 	 0
/zwxx_11337/****/202107/t20210723_2938626.html 	 0
/****/qzfwj/202110/">\u5b81\u590f\u516c\u8def\u5efa\u8bbe\u7ba1\u7406\u5c40</a> 	 0
/******/usercenter/index?qrcode=quicklyrq,3,141331,42329&code=001tkpga17fmlc0nrnfa1f7gfk2tkpgx 	 0
xxgk'""()&%<acx><script >sm0f(9227)</script>/******/2013/list.html 	 0
/***/0/02/03/37/2033705_287784.png 	 0
/**********/system/2021/12/15/013494960.shtml 	 0
/****/web/search?channelid=222832&searchword=\u5e73\u7f57\u53bf\u5d07\u5c97\u9547\u987a\u98ce\u7279\u8272\u56ed\u9910\u5385 	 0
/**/news/xwygx/202109/t20210918_316949.html 	 0
index/******/2021/01/21/013323672.shtml/"><script>alert(128)</script> 	 0
newscenter/******/2020/06/12/javascript:void(); 	 0
/****/web/search?channelid=222832&searchword=\u94f6\u5ddd\u5e02\u897f\u590f\u533a\u535a\u5965\u901a\u6c7d\u8f66\u4fee\u7406\u90e8 	 0
zwfw/****/0'xor(if(now()=sysdate(),sleep(12),0))xor'z.htm 	 0
/****/js/root/lib/layui/layui.js 	 0
